eps,A_clipped,status,tail_min,tail_max,amp_cycle_median,file
2.0,3.444,breathing,-11.30587100982666,12.267125129699707,9.269337177276611,track_eps2_h0p533_d18_ph0_dy0_k0p06_v_aa0_ra0.csv
2.5,3.444,breathing,-5.380688667297363,6.208556652069092,5.50497704744339,track_eps2p5_h0p533_d18_ph0_dy0_k0p06_v_aa0_ra0.csv
2.8,3.444,breathing,-4.5730462074279785,5.440206527709961,4.859031796455383,track_eps2p8_h0p533_d18_ph0_dy0_k0p06_v_aa0_ra0.csv
3.0,3.444,breathing,-4.365999698638916,5.202157497406006,4.436606049537659,track_eps3_h0p533_d18_ph0_dy0_k0p06_v_aa0_ra0.csv
3.2,3.444,breathing,-4.831813812255859,5.680270671844482,5.2043896317481995,track_eps3p2_h0p533_d18_ph0_dy0_k0p06_v_aa0_ra0.csv
3.5,3.444,breathing,-4.013936996459961,4.509119510650635,4.252752065658569,track_eps3p5_h0p533_d18_ph0_dy0_k0p06_v_aa0_ra0.csv
4.0,0.0,collapse_or_nonbreathing,0.49612078070640564,0.516112208366394,nan,track_eps4_h0p533_d18_ph0_dy0_k0p06_v_aa0_ra0.csv
4.5,0.0,collapse_or_nonbreathing,0.4966095983982086,0.5151671171188354,nan,track_eps4p5_h0p533_d18_ph0_dy0_k0p06_v_aa0_ra0.csv
5.0,0.0,collapse_or_nonbreathing,0.496818482875824,0.5141699910163879,nan,track_eps5_h0p533_d18_ph0_dy0_k0p06_v_aa0_ra0.csv
6.0,0.0,collapse_or_nonbreathing,0.49523699283599854,0.5112074613571167,nan,track_eps6_h0p533_d18_ph0_dy0_k0p06_v_aa0_ra0.csv
