eps,h,A,phi_max,phi_min,phi_mean,dominant_freq,freq_ratio,regime_code
1.5,0.515,nan,nan,nan,nan,0.0,0.0,-1
1.5,0.53,nan,nan,nan,nan,0.0,0.0,-1
1.5,0.533,nan,nan,nan,nan,0.0,0.0,-1
1.5,0.54,nan,nan,nan,nan,0.0,0.0,-1
1.5,0.545,nan,nan,nan,nan,0.0,0.0,-1
1.5,0.555,nan,nan,nan,nan,0.0,0.0,-1
2.0,0.515,33.111273726457675,16.970261770919027,-16.141011955538648,0.4957410582228973,0.2,1000000.0,2
2.0,0.53,18.931429093287136,9.93226890889685,-8.999160184390288,0.4145922094732935,0.2,1000000.0,2
2.0,0.533,22.61958216046034,11.732770559397762,-10.886811601062579,0.47961759805358,0.2,1000000.0,2
2.0,0.54,22.816229187669922,11.851815823680194,-10.964413363989728,0.5176883067842809,0.2,1000000.0,2
2.0,0.545,24.9279988090815,12.941791802453865,-11.986207006627634,0.4644131306869148,0.2,1000000.0,2
2.0,0.555,22.643423254137645,11.862906707861361,-10.780516546276285,0.4912151200056362,0.2,1000000.0,2
2.5,0.515,12.983515042352806,6.895993957165696,-6.087521085187111,0.45997251703548225,0.2,1000000.0,2
2.5,0.53,15.789725677259927,8.376139344105635,-7.413586333154293,0.44052695669336145,0.2,1000000.0,2
2.5,0.533,11.905366603492741,6.381471167235916,-5.523895436256826,0.4516778589168133,0.2,1000000.0,2
2.5,0.54,14.35164638762999,7.621150151409793,-6.730496236220196,0.4467957471338177,0.2,1000000.0,2
2.5,0.545,12.964479858074682,6.9248897509081235,-6.03959010716656,0.4612575697304673,0.2,1000000.0,2
2.5,0.555,15.411400606316395,8.18030747879821,-7.231093127518183,0.4409768213551628,0.2,1000000.0,2
2.8,0.515,10.93703587367839,5.898873829058502,-5.038162044619889,0.3996062212760082,0.2,1000000.0,2
2.8,0.53,10.99683054772579,5.943542237682593,-5.053288310043196,0.4831329853906903,0.2,1000000.0,2
2.8,0.533,10.946509567292821,5.91498977579813,-5.031519791494691,0.43133764512911915,0.2,1000000.0,2
2.8,0.54,10.9796665311881,5.943295822792156,-5.0363707083959435,0.4962408033683177,0.2,1000000.0,2
2.8,0.545,10.709970328540017,5.736621886135773,-4.973348442404243,0.44616390948315826,0.2,1000000.0,2
2.8,0.555,10.90001093737233,5.973247443380151,-4.92676349399218,0.5235400400262871,0.2,1000000.0,2
3.0,0.515,8.773884290062332,4.741967490553635,-4.031916799508697,0.49737048871834894,0.15000000000000002,1000000.0,2
3.0,0.53,7.658240992274263,4.028770745105529,-3.629470247168734,0.4847372712669855,0.15000000000000002,1000000.0,2
3.0,0.533,7.807252595509524,4.044462004913111,-3.7627905905964134,0.47129432228692697,0.15000000000000002,1000000.0,2
3.0,0.54,7.796993506685508,4.044353366986013,-3.7526401396994955,0.4783897667573979,0.15000000000000002,1000000.0,2
3.0,0.545,7.755704220418556,4.039126617587051,-3.7165776028315047,0.48263959913344057,0.15000000000000002,1000000.0,2
3.0,0.555,7.77418841642712,4.0439312998884445,-3.7302571165386755,0.49297740844270677,0.15000000000000002,1000000.0,2
3.2,0.515,7.3297995461055745,4.009827632314068,-3.3199719137915067,0.5375558968257658,0.15000000000000002,1000000.0,2
3.2,0.53,7.282705128092177,4.00904769734686,-3.273657430745317,0.5531535435141496,0.15000000000000002,1000000.0,2
3.2,0.533,7.272827257836659,4.008872584109549,-3.2639546737271097,0.5562797025295745,0.15000000000000002,1000000.0,2
3.2,0.54,7.249388444267293,4.008457890113925,-3.2409305541533686,0.5635430063020423,0.15000000000000002,1000000.0,2
3.2,0.545,7.2322589805580995,4.00813624935592,-3.224122731202179,0.5686924589698032,0.15000000000000002,1000000.0,2
3.2,0.555,7.194565392843965,4.007646235476402,-3.186919157367563,0.5821314293425025,0.15000000000000002,1000000.0,2
3.5,0.515,6.926681055024055,3.981646028814919,-2.9450350262091356,0.4878569682251315,0.05,1000000.0,2
3.5,0.53,6.841641509187919,3.9664806259342713,-2.8751608832536473,0.4923690341807526,0.05,1000000.0,2
3.5,0.533,6.767701635811746,3.9271415373568113,-2.840560098454935,0.4940142508349358,0.05,1000000.0,2
3.5,0.54,0.024745756576855404,0.5288752063531335,0.504129449776278,0.521005378104436,0.05,1000000.0,0
3.5,0.545,0.02140097631806892,0.5338751116387608,0.5124741353206919,0.5263627422012097,0.05,1000000.0,0
3.5,0.555,0.01979164396832822,0.5437380444886526,0.5239464005203244,0.5364084371969453,0.05,1000000.0,0
4.0,0.515,0.01970520876080334,0.502747400233037,0.48304219147223365,0.4951992350624136,0.05,1000000.0,0
4.0,0.53,0.020049808600696994,0.5175239500152793,0.4974741414145823,0.5098427736052074,0.05,1000000.0,0
4.0,0.533,0.020081991637775354,0.5205019288314718,0.5004199371936965,0.5128081756745602,0.05,1000000.0,0
4.0,0.54,0.020247099271997082,0.5273853171763198,0.5071382179043227,0.5196266043641247,0.05,1000000.0,0
4.0,0.545,0.02029212277082415,0.5323569110136275,0.5120647882428033,0.5245809202402035,0.05,1000000.0,0
4.0,0.555,0.020373679613215345,0.542305372325028,0.5219316927118126,0.5344980588802084,0.05,1000000.0,0
4.5,0.515,0.022698875082118597,0.5007164482013483,0.4780175731192297,0.49201063017119834,0.05,1000000.0,0
4.5,0.53,0.022992077819327494,0.5155014836443214,0.49250940582499386,0.506679428548513,0.05,1000000.0,0
